"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"PKH3",123.899715932047,0.0717325796369391,0.207857201092022,0.715886359511421,0.796196764678303,"PKH3","Not Sig"
"PKP1",25.4582376780318,-0.935121043999225,0.34808639272481,0.00193241880525737,0.00668518911354962,"PKP1","Not Sig"
"PKP2",138.243300573422,-0.940570148185266,0.216886204879125,4.48315100307923e-06,3.28255847005566e-05,"PKP2","Not Sig"
"PKR1",36.0266484520402,-0.403852259584272,0.265778657536544,0.0918689317135972,0.163829965038739,"PKR1","Not Sig"
"PLB1",180.246042261309,0.774000285645558,0.276591991366195,0.00197367261581082,0.00679847574682618,"PLB1","Not Sig"
"PLB2",82.9071459875697,0.172003054047667,0.270819960020637,0.480279730639474,0.595453194414277,"PLB2","Not Sig"
"PLB3",197.002574565922,-0.0615030942489734,0.206108609131045,0.74986994728009,0.823150016696394,"PLB3","Not Sig"
"PLC1",104.493813823896,0.0645877003043775,0.211415802383361,0.746750259364951,0.820828330559451,"PLC1","Not Sig"
"PLM2",12.5009456167325,0.215736615006663,0.401517548887225,0.48604684428298,0.601270687067446,"PLM2","Not Sig"
"PLN1",764.720359487958,0.138187929457459,0.200168130329505,0.467897302285208,0.584505919826586,"PLN1","Not Sig"
"PLP1",23.6837193245175,0.152748860434449,0.292810471304721,0.556858735303266,0.664591943685973,"PLP1","Not Sig"
"PLP2",60.4555540864951,0.122069361340845,0.237856259016678,0.580177801175939,0.685016730784634,"PLP2","Not Sig"
"PMA1",5311.04057989536,0.88584404796313,0.241646404093928,8.14790691743214e-05,0.000437002792867837,"PMA1","Not Sig"
"PMA2",23.9907676456204,0.0523697052007095,0.346472856457379,0.855366661483733,0.900606268462263,"PMA2","Not Sig"
"PMC1",500.461221684783,-1.32446044737305,0.189128420795823,4.50905466643484e-13,1.18420900488434e-11,"PMC1","Down"
"PMD1",178.789230712005,0.604686110799857,0.202070331978739,0.0015234318508995,0.00543846699038403,"PMD1","Not Sig"
"PMI40",142.670489309224,0.370978229421798,0.194686731655722,0.0439309781543069,0.0897224869642908,"PMI40","Not Sig"
"PML1",40.1069355414481,0.538459341647979,0.286184670728388,0.0347023380269534,0.073671680805608,"PML1","Not Sig"
