"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"ARP6",39.0849493700311,0.155475641792517,0.307102338728158,0.585898071287484,0.662659484590009,"ARP6","Not Sig"
"ARP7",45.0243879727535,-0.437840001685949,0.295824110530296,0.112860291226489,0.16989786574838,"ARP7","Not Sig"
"ARP8",154.768424412378,0.32287098763351,0.210869295193565,0.113353133289904,0.17059387345271,"ARP8","Not Sig"
"ARP9",91.1059462797322,0.587715011492002,0.227676047390091,0.00710797795452358,0.0154116390223275,"ARP9","Not Sig"
"ARR1",61.5346711674307,-1.07989192880884,0.247670322725777,5.26769350195162e-06,2.30214667577479e-05,"ARR1","Down"
"ARR2",15.1584827289954,-0.342384971102806,0.412298806567626,0.339802302712453,0.424013848176101,"ARR2","Not Sig"
"ARR3",19.5861311645865,-1.67089587638042,0.603105751023428,0.00108891379428713,0.0029089702794853,"ARR3","Down"
"ART10",62.7099160825152,-0.397935890932438,0.24779683650094,0.0918599073468603,0.143057996018468,"ART10","Not Sig"
"ART5",19.0588954851842,-0.502432733417496,0.380960280271027,0.137128308677743,0.200390741573484,"ART5","Not Sig"
"ARV1",13.9652804302495,-0.428971621810352,0.400712153252769,0.222248215266834,0.298500964274351,"ARV1","Not Sig"
"ARX1",61.4649538208053,-0.425541397718305,0.270298288122341,0.0952354646997557,0.147575398761893,"ARX1","Not Sig"
"ASA1",45.2020735830726,-0.47633735004125,0.269698427598298,0.0607599672926412,0.100648876824115,"ASA1","Not Sig"
"ASC1",603.679484591512,-0.851927239238466,0.270020715047182,0.000823516307330146,0.00226821773668382,"ASC1","Not Sig"
"ASE1",176.290516460942,0.307827077153416,0.234824425578344,0.171371352021548,0.241413080636751,"ASE1","Not Sig"
"ASF1",62.7026560835874,0.62365387703856,0.377044354375423,0.0631062776067492,0.103828387332987,"ASF1","Not Sig"
"ASF2",51.0463266484523,0.636022355922443,0.247206058214482,0.0068709906374995,0.0149674149634627,"ASF2","Not Sig"
"ASG1",144.117236472967,-0.76346375337625,0.260638248216434,0.00198767751977468,0.00494840589480176,"ASG1","Not Sig"
"ASG7",9.78214642524833,-0.971266170551716,0.528885479076028,0.0260681008428548,0.0484307393274426,"ASG7","Not Sig"
"ASH1",138.533571995468,1.72048863114282,0.244358193523807,3.60912202202073e-13,4.35478008572691e-12,"ASH1","Up"
"ASI1",102.114889692039,-0.602608011056399,0.243284700289443,0.00928264597097534,0.0194120080604247,"ASI1","Not Sig"
"ASI2",56.4724473718842,-0.992588255191318,0.273791343967856,0.00012603627262111,0.00041743452281971,"ASI2","Not Sig"
"ASI3",77.4743563003063,-0.492443950728679,0.243555802820959,0.0337438090319328,0.0605203166799077,"ASI3","Not Sig"
"ASK1",24.703162600837,0.491474627863785,0.354085621257636,0.123451351023256,0.183325420128509,"ASK1","Not Sig"
"ASK10",142.730212847168,-0.561324215606768,0.242449761070413,0.0150724998141941,0.0298991361562418,"ASK10","Not Sig"
"ASM4",118.379390021408,-0.149571676278058,0.22018465218699,0.479379409835904,0.563608326738556,"ASM4","Not Sig"
"ASN1",309.6165588001,0.0562938829866811,0.160475213836468,0.721600983326137,0.780327836985581,"ASN1","Not Sig"
"ASN2",197.216176574839,1.38009574816975,0.216484090059417,4.90117758306778e-11,4.61568811442443e-10,"ASN2","Up"
"ASP1",18.8919953136262,-0.177565973405639,0.393149425615266,0.60896735232406,0.68363703971519,"ASP1","Not Sig"
"ASR1",23.7589921802782,-0.499513131840453,0.336864481807206,0.103339949354019,0.158075930184956,"ASR1","Not Sig"
"AST1",16.6054336950911,0.673581206824219,0.424267616170231,0.066453788009363,0.108474610482748,"AST1","Not Sig"
"AST2",54.2336409079592,-1.16413417674452,0.289417204510867,2.02423716820118e-05,7.90201166707425e-05,"AST2","Down"
"ATC1",33.4352882989944,0.0811786940965772,0.345147556571787,0.797809299182207,0.843338098946574,"ATC1","Not Sig"
"ATE1",28.2390576908114,-0.329805707862535,0.307665050853319,0.246812070005985,0.324404774345272,"ATE1","Not Sig"
"ATF1",107.757084561528,-0.398106388174083,0.195637847011572,0.0358449391580862,0.0634747039095707,"ATF1","Not Sig"
"ATF2",10.4457199008877,-0.51135270636427,0.44502474072726,0.176673304468506,0.247263063596903,"ATF2","Not Sig"
"ATG1",236.414547951104,-0.140734103997977,0.180582016205493,0.42285416287425,0.50917459739601,"ATG1","Not Sig"
"ATG10",24.4240977939301,1.75138130712701,0.374065049545278,5.34699339260958e-07,2.75424318952652e-06,"ATG10","Up"
"ATG11",170.280978622798,-0.383590854329113,0.197751924353115,0.0451057318852846,0.0775149441557521,"ATG11","Not Sig"
"ATG12",13.7851400353437,-0.0721953816099013,0.385924279459194,0.831635810978897,0.872009508269157,"ATG12","Not Sig"
"ATG13",99.1461620826711,0.0189362013321894,0.214863366833939,0.928640333345043,0.945199058357382,"ATG13","Not Sig"
"ATG14",45.3911532739335,0.141261444909376,0.260705472677386,0.569164733293177,0.646872718009353,"ATG14","Not Sig"
"ATG15",28.1498950540492,-3.17089076840869,0.504976577925308,6.12725265886169e-11,5.63747555488031e-10,"ATG15","Down"
"ATG16",17.9437921025367,0.788718772141557,0.444892953973511,0.0388315451122513,0.0680312130779624,"ATG16","Not Sig"
"ATG17",52.0694538037255,0.167430343663047,0.293920982328835,0.543436526401333,0.624226679402271,"ATG17","Not Sig"
"ATG18",45.4719671753378,-1.17183804185501,0.296504937154653,2.76033828182152e-05,0.000105762550332258,"ATG18","Down"
"ATG19",195.141556457678,-0.800476227207834,0.19774557601221,2.95150201187717e-05,0.000112394161024104,"ATG19","Not Sig"
"ATG2",162.59632283917,-1.00962741097261,0.240436751417525,1.09390915396497e-05,4.48631070914958e-05,"ATG2","Down"
"ATG20",96.1663368516385,0.156894093641975,0.254245104960899,0.517438109886523,0.600404228729561,"ATG20","Not Sig"
"ATG21",80.2375631463197,-0.000359704497405879,0.217728512371353,0.995019853805965,0.996980308470459,"ATG21","Not Sig"
"ATG22",155.829227575909,-1.82280590051319,0.330903290976155,6.01369755093884e-09,4.2262090577829e-08,"ATG22","Down"
"ATG23",23.0439208960559,-0.755234528303606,0.357267550304835,0.0194493915975058,0.0376209877581078,"ATG23","Not Sig"
"ATG26",345.045218472158,-0.639645673695592,0.147827970003031,1.05472973004943e-05,4.33835155139451e-05,"ATG26","Not Sig"
"ATG27",114.685762804235,-0.324764740864103,0.244651019649488,0.163802998245489,0.232803346591785,"ATG27","Not Sig"
"ATG29",36.2676169983036,-0.99037189221521,0.294382819751184,0.0003464901067538,0.00104263886884387,"ATG29","Not Sig"
"ATG3",58.2436240585442,-0.485898827043229,0.244141410339087,0.0367017747967314,0.0647052405335378,"ATG3","Not Sig"
"ATG31",35.4428214976413,-0.464687384324489,0.292218253976995,0.0874606110033825,0.137353918571848,"ATG31","Not Sig"
"ATG32",109.249230918714,-1.16398633655005,0.216334316540195,2.61809654896163e-08,1.68728480355891e-07,"ATG32","Down"
"ATG33",108.789255126843,0.932504546675982,0.220781341437162,1.14567654548442e-05,4.66781835064811e-05,"ATG33","Not Sig"
"ATG34",73.2530616309849,-0.229028558296585,0.227154202229892,0.293075316936634,0.374563244903708,"ATG34","Not Sig"
"ATG36",29.1325599296238,-0.620390075313887,0.302898135420324,0.0272600103537569,0.0503275570689492,"ATG36","Not Sig"
"ATG38",27.0010521894131,-0.0167112466581359,0.413867704721784,0.961127624146675,0.971899481105658,"ATG38","Not Sig"
"ATG39",198.124353670534,-0.706724628858338,0.164570484743353,1.15011768482794e-05,4.6825024228002e-05,"ATG39","Not Sig"
"ATG4",78.4734007299764,-0.0370532232387397,0.269508132705101,0.882664510833809,0.910497007856229,"ATG4","Not Sig"
"ATG40",64.7937979039181,0.551970203751638,0.243794669642909,0.0175467030445741,0.0342614731109598,"ATG40","Not Sig"
"ATG41",72.9637500839705,1.8015329237044,0.322349696974562,4.18855859312393e-09,3.00780446340633e-08,"ATG41","Up"
"ATG42",445.22920274329,-0.126253060590872,0.236932274943199,0.576156134191643,0.653358486654785,"ATG42","Not Sig"
"ATG44",67.9968281146764,1.05320900900114,0.241875561674663,5.47158154394967e-06,2.38380273807278e-05,"ATG44","Up"
"ATG45",74.2513866408911,-0.618556301143645,0.254590945265089,0.0104394938083116,0.0215811265202125,"ATG45","Not Sig"
"ATG5",52.5686705329236,-0.836353752611961,0.306637796598225,0.00329917638191227,0.00781366295966175,"ATG5","Not Sig"
"ATG7",61.2358251691364,-0.898514495109858,0.281179323197687,0.000679987132374212,0.00190097352248943,"ATG7","Not Sig"
"ATG8",196.222697562292,0.88059469661876,0.25795890104202,0.000324926666660702,0.000980388227238385,"ATG8","Not Sig"
"ATG9",105.512094436544,-0.798354222758727,0.242110951776828,0.000537933921963105,0.00154407896216855,"ATG9","Not Sig"
"ATH1",228.635947729997,0.406442346358443,0.173578687276549,0.0164727451562633,0.0323782629670193,"ATH1","Not Sig"
"ATM1",72.7448384742753,0.841350540664978,0.273316245767133,0.00110177875102692,0.00293772656494022,"ATM1","Not Sig"
"ATO2",52.5316864835521,0.203692288614904,0.271811467422621,0.428271389744045,0.513999174904138,"ATO2","Not Sig"
"ATO3",17.4640939786851,0.628253618436597,0.399886319874768,0.0736059605985917,0.118014257262402,"ATO3","Not Sig"
"ATP1",2850.0912737303,1.35943069021584,0.160474742346982,7.09789202562514e-18,1.51548122104378e-16,"ATP1","Up"
